sleeve,sym,dir,usd,t0,t1,mins,day,null,alpha
ES:trendjoin_narrow,ES,-1,525.0,2026-08-11 11:14:00-04:00,2026-08-11 12:44:00-04:00,90.0,2026-08-11,491.24999999999994,33.75000000000006
ES:trendjoin_narrow,ES,-1,-325.0,2026-08-11 13:13:00-04:00,2026-08-11 13:42:00-04:00,29.0,2026-08-11,93.28125,-418.28125
ES:trendjoin_narrow,ES,-1,-312.5,2026-08-11 14:29:00-04:00,2026-08-11 15:22:00-04:00,53.0,2026-08-11,247.68750000000003,-560.1875
ES:trendjoin_narrow,ES,-1,-412.5,2026-08-12 09:41:00-04:00,2026-08-12 09:49:00-04:00,8.0,2026-08-12,27.5625,-440.0625
ES:trendjoin_narrow,ES,-1,712.5,2026-08-12 09:50:00-04:00,2026-08-12 11:20:00-04:00,90.0,2026-08-12,-47.9375,760.4375
ES:trendjoin_narrow,ES,1,900.0,2026-08-13 09:36:00-04:00,2026-08-13 11:06:00-04:00,90.0,2026-08-13,-26.03125,926.03125
ES:trendjoin_narrow,ES,-1,-200.0,2026-08-13 11:07:00-04:00,2026-08-13 15:59:00-04:00,292.0,2026-08-13,4.78125,-204.78125
ES:trendjoin_narrow,ES,-1,637.5,2026-08-14 10:27:00-04:00,2026-08-14 11:57:00-04:00,90.0,2026-08-14,256.78125,380.71875
ES:trendjoin_narrow,ES,-1,-337.5,2026-08-17 09:47:00-04:00,2026-08-17 09:49:00-04:00,2.0,2026-08-17,9.3125,-346.8125
ES:trendjoin_narrow,ES,-1,-37.5,2026-08-17 10:00:00-04:00,2026-08-17 12:00:00-04:00,120.0,2026-08-17,450.93750000000006,-488.43750000000006
ES:trendjoin_narrow,ES,1,-337.5,2026-08-18 09:42:00-04:00,2026-08-18 09:45:00-04:00,3.0,2026-08-18,6.406249999999999,-343.90625
ES:trendjoin_narrow,ES,-1,-362.5,2026-08-18 10:12:00-04:00,2026-08-18 10:16:00-04:00,4.0,2026-08-18,-1.1875,-361.3125
ES:trendjoin_narrow,ES,1,-300.0,2026-08-18 10:31:00-04:00,2026-08-18 10:45:00-04:00,14.0,2026-08-18,-4.40625,-295.59375
ES:trendjoin_narrow,ES,-1,-300.0,2026-08-18 10:58:00-04:00,2026-08-18 12:03:00-04:00,65.0,2026-08-18,94.28125,-394.28125
ES:trendjoin_narrow,ES,-1,-362.5,2026-08-19 09:39:00-04:00,2026-08-19 09:46:00-04:00,7.0,2026-08-19,38.125,-400.625
ES:trendjoin_narrow,ES,-1,-362.5,2026-08-19 09:49:00-04:00,2026-08-19 09:55:00-04:00,6.0,2026-08-19,10.4375,-372.9375
ES:trendjoin_narrow,ES,1,-412.5,2026-08-19 09:56:00-04:00,2026-08-19 10:12:00-04:00,16.0,2026-08-19,-11.25,-401.25
ES:trendjoin_narrow,ES,-1,-525.0,2026-08-19 10:15:00-04:00,2026-08-19 10:17:00-04:00,2.0,2026-08-19,-13.5625,-511.4375
ES:trendjoin_narrow,ES,1,325.0,2026-08-19 10:18:00-04:00,2026-08-19 11:48:00-04:00,90.0,2026-08-19,-98.875,423.875
ES:trendjoin_narrow,ES,-1,-325.0,2026-08-19 11:54:00-04:00,2026-08-19 12:01:00-04:00,7.0,2026-08-19,16.0625,-341.0625
ES:trendjoin_narrow,ES,1,-362.5,2026-08-19 12:08:00-04:00,2026-08-19 12:29:00-04:00,21.0,2026-08-19,-44.40625,-318.09375
ES:trendjoin_narrow,ES,-1,562.5,2026-08-19 12:30:00-04:00,2026-08-19 14:00:00-04:00,90.0,2026-08-19,92.53125,469.96875
ES:trendjoin_narrow,ES,-1,-462.5,2026-08-19 14:10:00-04:00,2026-08-19 14:31:00-04:00,21.0,2026-08-19,24.1875,-486.6875
ES:trendjoin_narrow,ES,-1,-375.0,2026-08-20 12:02:00-04:00,2026-08-20 12:37:00-04:00,35.0,2026-08-20,206.0625,-581.0625
ES:trendjoin_narrow,ES,-1,875.0,2026-08-20 13:16:00-04:00,2026-08-20 14:46:00-04:00,90.0,2026-08-20,710.25,164.75
ES:trendjoin_pk,ES,-1,-500.0,2026-08-19 09:52:00-04:00,2026-08-19 09:54:00-04:00,2.0,2026-08-19,3.75,-503.75
ES:trendjoin_pk,ES,-1,-375.0,2026-08-20 12:02:00-04:00,2026-08-20 12:37:00-04:00,35.0,2026-08-20,194.0,-569.0
ES:trendjoin_wide,ES,-1,-637.5,2026-08-03 09:30:00-04:00,2026-08-03 09:34:00-04:00,4.0,2026-08-03,-32.96875,-604.53125
ES:trendjoin_wide,ES,1,2262.5,2026-08-03 09:35:00-04:00,2026-08-03 11:05:00-04:00,90.0,2026-08-03,714.40625,1548.09375
ES:trendjoin_wide,ES,1,350.0,2026-08-03 11:50:00-04:00,2026-08-03 13:20:00-04:00,90.0,2026-08-03,702.28125,-352.28125
ES:trendjoin_wide,ES,1,550.0,2026-08-03 13:25:00-04:00,2026-08-03 14:55:00-04:00,90.0,2026-08-03,728.0625,-178.0625
ES:trendjoin_wide,ES,1,-287.5,2026-08-03 15:02:00-04:00,2026-08-03 15:59:00-04:00,57.0,2026-08-03,457.0625,-744.5625
ES:vwapbreak,ES,1,-662.5,2026-07-30 10:00:00-04:00,2026-07-30 10:48:00-04:00,48.0,2026-07-30,348.03125,-1010.53125
ES:vwapbreak,ES,1,1287.5,2026-07-30 12:17:00-04:00,2026-07-31 10:01:00-04:00,1304.0,2026-07-31,,
ES:vwapbreak,ES,1,2175.0,2026-07-31 10:41:00-04:00,2026-07-31 15:59:00-04:00,318.0,2026-07-31,2727.625,-552.625
ES:vwapbreak,ES,1,4550.0,2026-07-31 10:41:00-04:00,2026-08-03 15:59:00-04:00,4638.0,2026-08-03,,
