side,rng,bmod,vac,cum,confirm,hold,mfe,mae,race,sym,day
-1,24.75,642,0.35185185185185186,-910,1,-0.6363636363636364,1.1919191919191918,0.7373737373737373,1,ES,2026-07-15
1,28.5,609,0.19463087248322147,-4,0,-0.9473684210526315,0.3684210526315789,1.9649122807017543,-1,ES,2026-07-16
1,40.75,600,0.6294820717131474,-856,0,0.5460122699386503,0.6134969325153374,0.2147239263803681,0,ES,2026-07-17
-1,32.0,600,0.48031496062992124,-1417,1,1.0625,1.296875,0.453125,1,ES,2026-07-20
1,25.25,627,0.1894273127753304,228,1,0.6336633663366337,0.9504950495049505,0.3465346534653465,0,ES,2026-07-21
1,24.5,600,0.348993288590604,1263,1,-0.5510204081632653,0.5306122448979592,0.8673469387755102,0,ES,2026-07-22
-1,41.0,650,0.13976377952755906,-2775,1,0.042682926829268296,0.8170731707317073,0.2926829268292683,0,ES,2026-07-23
-1,24.25,600,0.5803571428571429,232,0,-0.6185567010309279,0.030927835051546393,2.6288659793814433,-1,ES,2026-07-24
-1,40.25,600,0.49029126213592233,1317,0,0.6149068322981367,1.4285714285714286,0.12422360248447205,1,ES,2026-07-27
1,34.25,650,0.17864476386036962,1459,1,0.8321167883211679,0.8394160583941606,0.40875912408759124,0,ES,2026-07-28
-1,38.5,610,0.6081081081081081,1774,0,1.8831168831168832,1.9675324675324675,1.5584415584415585,1,ES,2026-07-29
1,39.75,600,0.18229166666666666,1162,1,0.8238993710691824,0.9685534591194969,1.0188679245283019,-1,ES,2026-07-30
-1,47.75,600,0.46473029045643155,-451,1,-1.1047120418848169,0.8219895287958116,1.549738219895288,-1,ES,2026-07-31
1,44.0,600,0.24519230769230768,1605,1,0.9147727272727273,1.125,0.11931818181818182,1,ES,2026-08-03
1,29.25,601,0.26136363636363635,2827,1,2.7264957264957266,3.4017094017094016,0.008547008547008548,1,ES,2026-08-04
-1,24.25,631,0.38837920489296635,1482,0,1.9381443298969072,2.0309278350515463,0.28865979381443296,1,ES,2026-08-05
1,25.25,610,0.2422680412371134,997,1,-1.1782178217821782,0.10891089108910891,1.6237623762376239,-1,ES,2026-08-06
-1,18.5,604,0.20454545454545456,-850,1,-1.445945945945946,0.44594594594594594,1.8783783783783783,-1,ES,2026-08-07
1,12.0,600,0.1323529411764706,312,1,-0.4583333333333333,1.1458333333333333,1.4583333333333333,1,ES,2026-08-10
-1,26.75,604,0.3137254901960784,-219,1,-0.14018691588785046,0.205607476635514,0.5700934579439252,0,ES,2026-08-12
1,35.75,600,0.35602094240837695,720,1,0.04895104895104895,0.4755244755244755,0.6503496503496503,0,ES,2026-08-13
1,9.0,604,0.5492957746478874,-810,0,-2.5833333333333335,0.2222222222222222,3.5555555555555554,-1,ES,2026-08-14
-1,15.5,611,0.1348314606741573,-1648,1,0.3064516129032258,0.5967741935483871,0.8225806451612904,0,ES,2026-08-18
1,25.0,637,0.3157894736842105,-1694,0,-0.59,0.75,0.96,0,ES,2026-08-19
-1,208.5,600,0.23008849557522124,-330,1,0.9496402877697842,1.023980815347722,0.6474820143884892,1,NQ,2026-07-20
-1,150.5,605,0.23596419853539463,-282,1,-1.4534883720930232,0.1877076411960133,1.7906976744186047,-1,NQ,2026-07-21
1,177.5,600,0.512042818911686,-49,0,-0.6549295774647887,0.3619718309859155,0.6549295774647887,0,NQ,2026-07-22
-1,223.5,633,0.17531446540880502,-400,1,0.19574944071588368,1.0033557046979866,0.5033557046979866,1,NQ,2026-07-23
-1,307.75,600,0.355281207133059,42,0,0.0966693744922827,0.32656376929325753,1.0276198212835093,-1,NQ,2026-07-24
-1,273.25,600,0.3567251461988304,347,0,0.5443732845379688,1.4720951509606588,0.11436413540713632,1,NQ,2026-07-27
-1,343.25,614,0.4619960343688037,941,0,-0.8048069919883467,0.11289147851420248,1.269482884195193,-1,NQ,2026-07-28
-1,325.75,612,0.2289091886082751,-236,1,1.0153491941673063,1.0744435917114352,1.318495778971604,-1,NQ,2026-07-29
1,338.5,600,0.5034744156664561,-43,0,0.22304283604135894,0.4239290989660266,0.4564254062038405,0,NQ,2026-07-30
-1,429.0,602,0.3135483870967742,-601,1,-0.2465034965034965,0.5017482517482518,0.5291375291375291,0,NQ,2026-07-31
1,314.0,618,0.21549112938122025,-335,0,0.8694267515923567,1.069267515923567,0.05732484076433121,1,NQ,2026-08-03
1,291.75,605,0.34557377049180327,164,1,1.2673521850899743,1.5544130248500427,0.060839760068551844,1,NQ,2026-08-04
-1,160.0,623,0.11126760563380282,-208,1,1.9046875,1.978125,0.4828125,1,NQ,2026-08-05
1,306.5,600,0.45743989603638724,399,1,-0.17536704730831973,0.44127243066884175,0.32871125611745516,0,NQ,2026-08-06
-1,172.75,602,0.22623828647925034,-120,1,-1.0882778581765558,0.46888567293777134,1.2416787264833575,-1,NQ,2026-08-07
1,120.0,606,0.5930555555555556,-789,0,-0.8020833333333334,0.49166666666666664,0.9791666666666666,0,NQ,2026-08-10
-1,142.25,605,0.17917034421888792,-886,1,0.012302284710017574,0.2513181019332162,0.6344463971880492,0,NQ,2026-08-12
1,316.25,600,0.25229638701775875,579,1,0.045059288537549404,0.291699604743083,0.23715415019762845,0,NQ,2026-08-13
-1,105.75,619,0.16516129032258065,-629,1,0.28132387706855794,1.3664302600472813,0.16784869976359337,1,NQ,2026-08-14
-1,161.5,610,0.3981191222570533,-426,1,0.12538699690402477,0.5712074303405573,0.5154798761609907,0,NQ,2026-08-18
-1,332.25,611,0.35246727089627394,-1089,1,-0.34085778781038373,0.09104589917231001,0.7780285929270128,0,NQ,2026-08-19
